calib_tl,-0.4500000000000001,-1.3877787807814457e-17
garlic_press,-0.404916241018094,-0.29032226647043546
syringe,-0.2578120941909792,-0.06561444896545753
orange_5,-0.15608632369491826,-0.0926194160678729
orange_4,-0.6391540775690422,-0.4742560167950826
calib_br,-0.4500000000000004,-0.45
orange_2,-0.9368929097047881,-0.5092156523244741
orange_1,-0.734554097047875,-0.22653152324474068
black_bottle,-0.5845938663319196,-0.18069052462990215
orange_3,-0.45777692407583775,-0.1459500259717773
pickle,-0.7396575512942608,-0.35922133365076614
calib_tr,1.1102230246251565e-16,1.3877787807814457e-17
